Posicion Velocidad
5	10.60528445
7	15.90792667
9	19.78608803
11	21.4639897
13	21.96206038
15	21.56452416
17	20.58963678
19	18.36889149
21	15.14166321
23	11.00562379
25	8.188446135
27	8.188446135
29	11.85706847
31	15.35443706
33	18.4276721
35	20.32531726
37	21.10834869
39	21.05705251
41	20.32531726
43	17.95203903
45	15.49466314
47	11.2965715
49	7.204872014
51	5.695951453
53	8.57551297
55	13.23619507
57	16.76842705
59	19.45537804
61	20.74661214
63	20.90240866
65	20.48431825
67	19.23174557
69	16.44279552
71	13.23619507
73	8.945847936
75	5.695951453
77	6.898139774
79	10.60528445
81	15.21291849
83	18.30992219
85	20.11136059
87	20.95408342
89	20.85060583
91	20.21862194
93	18.4862658
95	15.42470945
97	11.94792857
99	8.700709563
101	8.188446135
103	11.20042872
105	15.14166321
107	18.30992219
109	20.32531726
111	21.31229883
113	21.4639897
115	21.00563106
117	18.71880658
119	14.9981371
